Parameter Name,Value,Units
Zone 6 | Furnace DegC Actual | Avg,2060.01,C
Zone 6 | Furnace DegC Actual | Max,2060.73,C
Zone 6 | Furnace DegC Actual | Min,2058.58,C
Zone 6 | Tension N | Avg,70.64,g
Zone 6 | Tension N | Max,72.31,g
Zone 6 | Tension N | Min,69.51,g
Zone 7 | Start,2025-02-09 16:12:11.589000,index/label
Zone 7 | End,2025-02-09 16:21:16.589000,index/label
Zone 7 | Bare Fibre Diameter | Avg,429.42,µm
Zone 7 | Bare Fibre Diameter | Max,430.3,µm
Zone 7 | Bare Fibre Diameter | Min,428.5,µm
Zone 7 | Capstan Speed | Avg,7.95,m/min
Zone 7 | Capstan Speed | Max,8.16,m/min
Zone 7 | Capstan Speed | Min,7.87,m/min
Zone 7 | Coated Inner Diameter | Avg,492.91,µm
Zone 7 | Coated Inner Diameter | Max,493.5,µm
Zone 7 | Coated Inner Diameter | Min,492.4,µm
Zone 7 | Coated Outer Diameter | Avg,575.7,µm
Zone 7 | Coated Outer Diameter | Max,577.0,µm
Zone 7 | Coated Outer Diameter | Min,574.1,µm
Zone 7 | Furnace DegC Actual | Avg,2070.0,C
Zone 7 | Furnace DegC Actual | Max,2070.67,C
Zone 7 | Furnace DegC Actual | Min,2069.19,C
Zone 7 | Tension N | Avg,60.86,g
Zone 7 | Tension N | Max,62.2,g
Zone 7 | Tension N | Min,59.59,g
Zone 8 | Start,2025-02-09 16:28:22.589000,index/label
Zone 8 | End,2025-02-09 16:35:27.589000,index/label
Zone 8 | Bare Fibre Diameter | Avg,429.22,µm
Zone 8 | Bare Fibre Diameter | Max,429.9,µm
Zone 8 | Bare Fibre Diameter | Min,428.1,µm
Zone 8 | Capstan Speed | Avg,8.87,m/min
Zone 8 | Capstan Speed | Max,9.02,m/min
Zone 8 | Capstan Speed | Min,8.74,m/min
Zone 8 | Coated Inner Diameter | Avg,493.48,µm
Zone 8 | Coated Inner Diameter | Max,494.0,µm
Zone 8 | Coated Inner Diameter | Min,493.0,µm
Zone 8 | Coated Outer Diameter | Avg,575.27,µm
Zone 8 | Coated Outer Diameter | Max,576.5,µm
Zone 8 | Coated Outer Diameter | Min,573.8,µm
Zone 8 | Furnace DegC Actual | Avg,2080.03,C
Zone 8 | Furnace DegC Actual | Max,2080.75,C
Zone 8 | Furnace DegC Actual | Min,2079.67,C
Zone 8 | Tension N | Avg,58.03,g
Zone 8 | Tension N | Max,59.84,g
Zone 8 | Tension N | Min,56.97,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),0.96,km
Zone 1 | Fiber Length | Min,0.15,km
Zone 1 | Fiber Length | Max,0.2,km
Zone 2 | Fiber Length | Min,0.04,km
Zone 2 | Fiber Length | Max,0.23,km
Zone 3 | Fiber Length | Min,0.07,km
Zone 3 | Fiber Length | Max,0.14,km
Zone 4 | Fiber Length | Min,0.22,km
Zone 4 | Fiber Length | Max,0.27,km
Zone 5 | Fiber Length | Min,0.34,km
Zone 5 | Fiber Length | Max,0.42,km
Zone 6 | Fiber Length | Min,0.54,km
Zone 6 | Fiber Length | Max,0.63,km
Zone 7 | Fiber Length | Min,0.76,km
Zone 7 | Fiber Length | Max,0.83,km
Zone 8 | Fiber Length | Min,0.89,km
Zone 8 | Fiber Length | Max,0.95,km
,,
—,—,
CUT/SAVE Plan Source,P0253_oct_t1.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),0.96,km
Fiber Length Min (log),,km
Fiber Length Max (log),0.96,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 (km from end) Start,0.76,km
Good Zone 1 (km from end) End,0.81,km
Good Zone 1 Length,0.05,km
Good Zone 1 Fibre Length Min,0.15,km
Good Zone 1 Fibre Length Max,0.2,km
Good Zone 2 (km from end) Start,0.73,km
Good Zone 2 (km from end) End,0.92,km
Good Zone 2 Length,0.19,km
Good Zone 2 Fibre Length Min,0.04,km
Good Zone 2 Fibre Length Max,0.23,km
Good Zone 3 (km from end) Start,0.82,km
Good Zone 3 (km from end) End,0.89,km
Good Zone 3 Length,0.0700000000000001,km
Good Zone 3 Fibre Length Min,0.07,km
Good Zone 3 Fibre Length Max,0.14,km
Good Zone 4 (km from end) Start,0.69,km
Good Zone 4 (km from end) End,0.74,km
Good Zone 4 Length,0.05,km
Good Zone 4 Fibre Length Min,0.22,km
Good Zone 4 Fibre Length Max,0.27,km
Good Zone 5 (km from end) Start,0.54,km
Good Zone 5 (km from end) End,0.62,km
Good Zone 5 Length,0.08,km
Good Zone 5 Fibre Length Min,0.34,km
Good Zone 5 Fibre Length Max,0.42,km
Good Zone 6 (km from end) Start,0.33,km
Good Zone 6 (km from end) End,0.42,km
Good Zone 6 Length,0.09,km
Good Zone 6 Fibre Length Min,0.54,km
Good Zone 6 Fibre Length Max,0.63,km
Good Zone 7 (km from end) Start,0.13,km
Good Zone 7 (km from end) End,0.2,km
Good Zone 7 Length,0.07,km
Good Zone 7 Fibre Length Min,0.76,km
Good Zone 7 Fibre Length Max,0.83,km
Good Zone 8 (km from end) Start,0.01,km
Good Zone 8 (km from end) End,0.07,km
Good Zone 8 Length,0.06,km
Good Zone 8 Fibre Length Min,0.89,km
Good Zone 8 Fibre Length Max,0.95,km
T&M Step 1 Action,CUT,
T&M Step 1 Length,0.76,km
T&M Step 2 Action,SAVE,
T&M Step 2 Length,0.05,km
T&M Step 2 Zone,Good Zone 1,
T&M Step 3 Action,CUT,
T&M Step 3 Length,0.91,km
T&M Step 4 Action,SAVE,
T&M Step 4 Length,-0.19,km
T&M Step 4 Zone,Good Zone 2,
T&M Step 5 Action,CUT,
T&M Step 5 Length,0.82,km
T&M Step 6 Action,SAVE,
T&M Step 6 Length,0.06,km
T&M Step 6 Zone,Good Zone 3,
T&M Step 7 Action,CUT,
T&M Step 7 Length,0.68,km
T&M Step 8 Action,SAVE,
T&M Step 8 Length,0.05,km
T&M Step 8 Zone,Good Zone 4,
T&M Step 9 Action,CUT,
T&M Step 9 Length,0.54,km
T&M Step 10 Action,SAVE,
T&M Step 10 Length,0.08,km
T&M Step 10 Zone,Good Zone 5,
T&M Step 11 Action,CUT,
T&M Step 11 Length,0.33,km
T&M Step 12 Action,SAVE,
T&M Step 12 Length,0.09,km
T&M Step 12 Zone,Good Zone 6,
T&M Step 13 Action,CUT,
T&M Step 13 Length,0.13,km
T&M Step 14 Action,SAVE,
T&M Step 14 Length,0.07,km
T&M Step 14 Zone,Good Zone 7,
T&M Step 15 Action,SAVE,
T&M Step 15 Length,0.06,km
T&M Step 15 Zone,Good Zone 8,
Total Saved Length,0.27,km
Total Cut Length,4.17,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
