Parameter Name,Value,Units
Good Zone 2 Length,0.08,km
Good Zone 2 Fibre Length Min,0.92,km
Good Zone 2 Fibre Length Max,1,km
Good Zone 3 (km from end) Start,0.64,km
Good Zone 3 (km from end) End,0.67,km
Good Zone 3 Length,0.03,km
Good Zone 3 Fibre Length Min,0.75,km
Good Zone 3 Fibre Length Max,0.78,km
Good Zone 4 (km from end) Start,0.73,km
Good Zone 4 (km from end) End,0.77,km
Good Zone 4 Length,0.04,km
Good Zone 4 Fibre Length Min,0.65,km
Good Zone 4 Fibre Length Max,0.69,km
Good Zone 5 (km from end) Start,0.82,km
Good Zone 5 (km from end) End,0.84,km
Good Zone 5 Length,0.02,km
Good Zone 5 Fibre Length Min,0.58,km
Good Zone 5 Fibre Length Max,0.6,km
Good Zone 6 (km from end) Start,0.89,km
Good Zone 6 (km from end) End,0.9,km
Good Zone 6 Length,0.01,km
Good Zone 6 Fibre Length Min,0.52,km
Good Zone 6 Fibre Length Max,0.53,km
T&M Step 1 Action,CUT,
T&M Step 1 Length,0.02,km
T&M Step 2 Action,SAVE,
T&M Step 2 Length,0.14,km
T&M Step 2 Zone,Good Zone 1,
T&M Step 3 Action,CUT,
T&M Step 3 Length,0.02,km
T&M Step 4 Action,SAVE,
T&M Step 4 Length,0.14,km
T&M Step 4 Zone,Good Zone 2,
T&M Step 5 Action,CUT,
T&M Step 5 Length,0.42,km
T&M Step 6 Action,SAVE,
T&M Step 6 Length,0.08,km
T&M Step 6 Zone,Good Zone 3,
T&M Step 7 Action,CUT,
T&M Step 7 Length,0.02,km
T&M Step 8 Action,SAVE,
T&M Step 8 Length,0.14,km
T&M Step 8 Zone,Good Zone 4,
T&M Step 9 Action,CUT,
T&M Step 9 Length,0.42,km
T&M Step 10 Action,SAVE,
T&M Step 10 Length,0.08,km
T&M Step 10 Zone,Good Zone 5,
T&M Step 11 Action,CUT,
T&M Step 11 Length,0.64,km
T&M Step 12 Action,SAVE,
T&M Step 12 Length,0.03,km
T&M Step 12 Zone,Good Zone 6,
T&M Step 13 Action,CUT,
T&M Step 13 Length,0.02,km
T&M Step 14 Action,SAVE,
T&M Step 14 Length,0.14,km
T&M Step 14 Zone,Good Zone 7,
T&M Step 15 Action,CUT,
T&M Step 15 Length,0.42,km
T&M Step 16 Action,SAVE,
T&M Step 16 Length,0.08,km
T&M Step 16 Zone,Good Zone 8,
T&M Step 17 Action,CUT,
T&M Step 17 Length,0.64,km
T&M Step 18 Action,SAVE,
T&M Step 18 Length,0.03,km
T&M Step 18 Zone,Good Zone 9,
T&M Step 19 Action,CUT,
T&M Step 19 Length,0.72,km
T&M Step 20 Action,SAVE,
T&M Step 20 Length,0.05,km
T&M Step 20 Zone,Good Zone 10,
T&M Step 21 Action,CUT,
T&M Step 21 Length,0.02,km
T&M Step 22 Action,SAVE,
T&M Step 22 Length,0.14,km
T&M Step 22 Zone,Good Zone 11,
T&M Step 23 Action,CUT,
T&M Step 23 Length,0.42,km
T&M Step 24 Action,SAVE,
T&M Step 24 Length,0.08,km
T&M Step 24 Zone,Good Zone 12,
T&M Step 25 Action,CUT,
T&M Step 25 Length,0.64,km
T&M Step 26 Action,SAVE,
T&M Step 26 Length,0.03,km
T&M Step 26 Zone,Good Zone 13,
T&M Step 27 Action,CUT,
T&M Step 27 Length,0.72,km
T&M Step 28 Action,SAVE,
T&M Step 28 Length,0.05,km
T&M Step 28 Zone,Good Zone 14,
T&M Step 29 Action,CUT,
T&M Step 29 Length,0.82,km
T&M Step 30 Action,SAVE,
T&M Step 30 Length,0.02,km
T&M Step 30 Zone,Good Zone 15,
T&M Step 31 Action,CUT,
T&M Step 31 Length,0.02,km
T&M Step 32 Action,SAVE,
T&M Step 32 Length,0.14,km
T&M Step 32 Zone,Good Zone 16,
T&M Step 33 Action,CUT,
T&M Step 33 Length,0.42,km
T&M Step 34 Action,SAVE,
T&M Step 34 Length,0.08,km
T&M Step 34 Zone,Good Zone 17,
T&M Step 35 Action,CUT,
T&M Step 35 Length,0.64,km
T&M Step 36 Action,SAVE,
T&M Step 36 Length,0.03,km
T&M Step 36 Zone,Good Zone 18,
T&M Step 37 Action,CUT,
T&M Step 37 Length,0.72,km
T&M Step 38 Action,SAVE,
T&M Step 38 Length,0.05,km
